,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
168,15,720,l1,240,True,1,4,0.8581907090464541
184,20,960,l1,320,True,1,4,0.8581907090464541
160,15,720,l1,240,False,1,4,0.8533007334963321
176,20,960,l1,320,False,1,4,0.845965770171149
152,10,480,l1,160,True,1,4,0.838630806845965
185,20,960,l2,320,True,1,4,0.8264058679706601
144,10,480,l1,160,False,1,4,0.8264058679706601
177,20,960,l2,320,False,1,4,0.8239608801955991
368,20,960,l1,320,False,1,4,0.821515892420537
352,15,720,l1,240,False,1,4,0.819070904645476
153,10,480,l2,160,True,1,4,0.819070904645476
376,20,960,l1,320,True,1,4,0.811735941320293
171,15,720,l2,240,True,5,4,0.8068459657701711
170,15,720,l1,240,True,5,4,0.8068459657701711
161,15,720,l2,240,False,1,4,0.80440097799511
344,10,480,l1,160,True,1,4,0.80440097799511
336,10,480,l1,160,False,1,4,0.80440097799511
353,15,720,l2,240,False,1,4,0.7995110024449871
104,15,180,l1,60,True,1,2,0.7995110024449871
169,15,720,l2,240,True,1,4,0.7970660146699261
172,15,720,l1,240,True,15,4,0.7897310513447431
360,15,720,l1,240,True,1,4,0.7897310513447431
154,10,480,l1,160,True,5,4,0.7872860635696821
120,20,240,l1,80,True,1,2,0.7872860635696821
370,20,960,l1,320,False,5,4,0.78239608801956
128,5,240,l1,80,False,1,4,0.78239608801956
136,5,240,l1,80,True,1,4,0.78239608801956
369,20,960,l2,320,False,1,4,0.78239608801956
96,15,180,l1,60,False,1,2,0.78239608801956
112,20,240,l1,80,False,1,2,0.7799511002444981
377,20,960,l2,320,True,1,4,0.777506112469437
145,10,480,l2,160,False,1,4,0.775061124694376
178,20,960,l1,320,False,5,4,0.775061124694376
173,15,720,l2,240,True,15,4,0.775061124694376
345,10,480,l2,160,True,1,4,0.7726161369193151
179,20,960,l2,320,False,5,4,0.7726161369193151
304,20,240,l1,80,False,1,2,0.7726161369193151
378,20,960,l1,320,True,5,4,0.7701711491442541
186,20,960,l1,320,True,5,4,0.767726161369193
328,5,240,l1,80,True,1,4,0.767726161369193
105,15,180,l2,60,True,1,2,0.767726161369193
354,15,720,l1,240,False,5,4,0.767726161369193
162,15,720,l1,240,False,5,4,0.7652811735941321
146,10,480,l1,160,False,5,4,0.7628361858190701
97,15,180,l2,60,False,1,2,0.760391198044009
175,15,720,l2,240,True,25,4,0.760391198044009
114,20,240,l1,80,False,5,2,0.757946210268948
155,10,480,l2,160,True,5,4,0.7555012224938871
163,15,720,l2,240,False,5,4,0.7555012224938871
