,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
120,20,240,l1,80,True,1,2,0.7434052757793761
160,15,720,l1,240,False,1,4,0.726618705035971
360,15,720,l1,240,True,1,4,0.7194244604316541
96,15,180,l1,60,False,1,2,0.712230215827338
336,10,480,l1,160,False,1,4,0.707434052757793
376,20,960,l1,320,True,1,4,0.707434052757793
112,20,240,l1,80,False,1,2,0.7050359712230211
176,20,960,l1,320,False,1,4,0.7050359712230211
304,20,240,l1,80,False,1,2,0.7050359712230211
104,15,180,l1,60,True,1,2,0.702637889688249
178,20,960,l1,320,False,5,4,0.697841726618705
128,5,240,l1,80,False,1,4,0.697841726618705
154,10,480,l1,160,True,5,4,0.6954436450839321
162,15,720,l1,240,False,5,4,0.69304556354916
368,20,960,l1,320,False,1,4,0.69304556354916
168,15,720,l1,240,True,1,4,0.69304556354916
88,10,120,l1,40,True,1,2,0.6906474820143881
136,5,240,l1,80,True,1,4,0.6906474820143881
146,10,480,l1,160,False,5,4,0.6906474820143881
121,20,240,l2,80,True,1,2,0.688249400479616
344,10,480,l1,160,True,1,4,0.688249400479616
180,20,960,l1,320,False,15,4,0.688249400479616
377,20,960,l2,320,True,1,4,0.6858513189448441
152,10,480,l1,160,True,1,4,0.6858513189448441
122,20,240,l1,80,True,5,2,0.683453237410071
184,20,960,l1,320,True,1,4,0.683453237410071
378,20,960,l1,320,True,5,4,0.6810551558752991
177,20,960,l2,320,False,1,4,0.678657074340527
98,15,180,l1,60,False,5,2,0.678657074340527
320,5,240,l1,80,False,1,4,0.678657074340527
186,20,960,l1,320,True,5,4,0.6762589928057551
144,10,480,l1,160,False,1,4,0.6762589928057551
352,15,720,l1,240,False,1,4,0.6762589928057551
153,10,480,l2,160,True,1,4,0.6762589928057551
114,20,240,l1,80,False,5,2,0.6762589928057551
328,5,240,l1,80,True,1,4,0.673860911270983
137,5,240,l2,80,True,1,4,0.673860911270983
97,15,180,l2,60,False,1,2,0.673860911270983
80,10,120,l1,40,False,1,2,0.673860911270983
345,10,480,l2,160,True,1,4,0.673860911270983
361,15,720,l2,240,True,1,4,0.6714628297362111
89,10,120,l2,40,True,1,2,0.6714628297362111
182,20,960,l1,320,False,25,4,0.6714628297362111
161,15,720,l2,240,False,1,4,0.6714628297362111
106,15,180,l1,60,True,5,2,0.669064748201438
338,10,480,l1,160,False,5,4,0.669064748201438
189,20,960,l2,320,True,15,4,0.669064748201438
312,20,240,l1,80,True,1,2,0.669064748201438
82,10,120,l1,40,False,5,2,0.669064748201438
158,10,480,l1,160,True,25,4,0.6666666666666661
380,20,960,l1,320,True,15,4,0.6666666666666661
288,15,180,l1,60,False,1,2,0.6666666666666661
156,10,480,l1,160,True,15,4,0.6666666666666661
337,10,480,l2,160,False,1,4,0.6666666666666661
90,10,120,l1,40,True,5,2,0.664268585131894
370,20,960,l1,320,False,5,4,0.664268585131894
187,20,960,l2,320,True,5,4,0.664268585131894
170,15,720,l1,240,True,5,4,0.664268585131894
346,10,480,l1,160,True,5,4,0.664268585131894
155,10,480,l2,160,True,5,4,0.664268585131894
105,15,180,l2,60,True,1,2,0.664268585131894
306,20,240,l1,80,False,5,2,0.664268585131894
305,20,240,l2,80,False,1,2,0.6618705035971221
362,15,720,l1,240,True,5,4,0.6618705035971221
157,10,480,l2,160,True,15,4,0.65947242206235
107,15,180,l2,60,True,5,2,0.65947242206235
188,20,960,l1,320,True,15,4,0.65947242206235
179,20,960,l2,320,False,5,4,0.65947242206235
113,20,240,l2,80,False,1,2,0.6570743405275781
190,20,960,l1,320,True,25,4,0.6570743405275781
164,15,720,l1,240,False,15,4,0.6570743405275781
174,15,720,l1,240,True,25,4,0.6570743405275781
166,15,720,l1,240,False,25,4,0.654676258992805
123,20,240,l2,80,True,5,2,0.654676258992805
100,15,180,l1,60,False,15,2,0.654676258992805
348,10,480,l1,160,True,15,4,0.654676258992805
329,5,240,l2,80,True,1,4,0.6522781774580331
129,5,240,l2,80,False,1,4,0.6522781774580331
159,10,480,l2,160,True,25,4,0.6522781774580331
124,20,240,l1,80,True,15,2,0.649880095923261
81,10,120,l2,40,False,1,2,0.649880095923261
296,15,180,l1,60,True,1,2,0.649880095923261
321,5,240,l2,80,False,1,4,0.649880095923261
72,5,60,l1,20,True,1,2,0.649880095923261
369,20,960,l2,320,False,1,4,0.6474820143884891
185,20,960,l2,320,True,1,4,0.6474820143884891
356,15,720,l1,240,False,15,4,0.6474820143884891
163,15,720,l2,240,False,5,4,0.6474820143884891
145,10,480,l2,160,False,1,4,0.6474820143884891
354,15,720,l1,240,False,5,4,0.645083932853717
339,10,480,l2,160,False,5,4,0.645083932853717
32,15,45,l1,15,False,1,1,0.645083932853717
290,15,180,l1,60,False,5,2,0.645083932853717
147,10,480,l2,160,False,5,4,0.645083932853717
139,5,240,l2,80,True,5,4,0.645083932853717
150,10,480,l1,160,False,25,4,0.6426858513189441
149,10,480,l2,160,False,15,4,0.6426858513189441
56,20,60,l1,20,True,1,1,0.640287769784172
313,20,240,l2,80,True,1,2,0.640287769784172
172,15,720,l1,240,True,15,4,0.640287769784172
181,20,960,l2,320,False,15,4,0.640287769784172
353,15,720,l2,240,False,1,4,0.640287769784172
169,15,720,l2,240,True,1,4,0.640287769784172
171,15,720,l2,240,True,5,4,0.640287769784172
382,20,960,l1,320,True,25,4,0.640287769784172
64,5,60,l1,20,False,1,2,0.640287769784172
91,10,120,l2,40,True,5,2,0.640287769784172
347,10,480,l2,160,True,5,4,0.640287769784172
148,10,480,l1,160,False,15,4,0.6378896882494001
340,10,480,l1,160,False,15,4,0.6378896882494001
292,15,180,l1,60,False,15,2,0.6378896882494001
191,20,960,l2,320,True,25,4,0.6378896882494001
364,15,720,l1,240,True,15,4,0.635491606714628
130,5,240,l1,80,False,5,4,0.635491606714628
363,15,720,l2,240,True,5,4,0.635491606714628
83,10,120,l2,40,False,5,2,0.635491606714628
93,10,120,l2,40,True,15,2,0.6330935251798561
92,10,120,l1,40,True,15,2,0.6330935251798561
138,5,240,l1,80,True,5,4,0.6330935251798561
298,15,180,l1,60,True,5,2,0.630695443645083
379,20,960,l2,320,True,5,4,0.630695443645083
330,5,240,l1,80,True,5,4,0.6282973621103111
331,5,240,l2,80,True,5,4,0.6282973621103111
99,15,180,l2,60,False,5,2,0.6282973621103111
291,15,180,l2,60,False,5,2,0.6282973621103111
109,15,180,l2,60,True,15,2,0.625899280575539
116,20,240,l1,80,False,15,2,0.625899280575539
308,20,240,l1,80,False,15,2,0.625899280575539
